Time,max(Result),min(Result)
2.26e-08,1.8178e+06,-3.31812e+07
2.27e-08,1.78548e+06,-3.33489e+07
2.28e-08,1.80487e+06,-3.33202e+07
2.29e-08,1.78783e+06,-3.33117e+07
2.3e-08,1.80333e+06,-3.32369e+07
2.31e-08,1.7722e+06,-3.34138e+07
2.32e-08,1.7845e+06,-3.33596e+07
2.33e-08,1.79192e+06,-3.32951e+07
2.34e-08,1.79466e+06,-3.32914e+07
2.35e-08,1.76945e+06,-3.3398e+07
2.36e-08,1.77656e+06,-3.33821e+07
2.37e-08,1.77506e+06,-3.33069e+07
2.38e-08,1.77537e+06,-3.33551e+07
2.39e-08,1.74987e+06,-3.34426e+07
2.4e-08,1.75054e+06,-3.34186e+07
2.41e-08,1.74173e+06,-3.33542e+07
2.42e-08,1.7117e+06,-3.35049e+07
2.43e-08,1.73116e+06,-3.34834e+07
2.44e-08,1.73447e+06,-3.34484e+07
2.45e-08,1.73707e+06,-3.33702e+07
2.46e-08,1.71385e+06,-3.34772e+07
2.47e-08,1.71461e+06,-3.352e+07
2.48e-08,1.71886e+06,-3.34728e+07
2.49e-08,1.67811e+06,-3.35132e+07
2.5e-08,1.6972e+06,-3.35473e+07
2.51e-08,1.69382e+06,-3.3561e+07
2.52e-08,1.67356e+06,-3.35616e+07
2.53e-08,1.69345e+06,-3.3489e+07
2.54e-08,1.6796e+06,-3.35882e+07
2.55e-08,1.67643e+06,-3.35968e+07
2.56e-08,1.66978e+06,-3.35668e+07
2.57e-08,1.66317e+06,-3.35693e+07
2.58e-08,1.66155e+06,-3.36288e+07
2.59e-08,1.66948e+06,-3.36204e+07
2.6e-08,1.66918e+06,-3.35639e+07
2.61e-08,1.66606e+06,-3.35697e+07
2.62e-08,1.64536e+06,-3.36649e+07
2.63e-08,1.63016e+06,-3.3683e+07
2.64e-08,1.63559e+06,-3.36317e+07
2.65e-08,1.63351e+06,-3.36468e+07
2.66e-08,1.62754e+06,-3.37034e+07
2.67e-08,1.61439e+06,-3.37166e+07
2.68e-08,1.63538e+06,-3.36365e+07
2.69e-08,1.62546e+06,-3.3657e+07
2.7e-08,1.61063e+06,-3.37395e+07
2.71e-08,1.6208e+06,-3.37275e+07
2.72e-08,1.61897e+06,-3.36742e+07
2.73e-08,1.60787e+06,-3.36918e+07
2.74e-08,1.59402e+06,-3.3774e+07
2.75e-08,1.60158e+06,-3.37683e+07
2.76e-08,1.5701e+06,-3.37764e+07
2.77e-08,1.56443e+06,-3.37869e+07
2.78e-08,1.5776e+06,-3.38072e+07
2.79e-08,1.56619e+06,-3.38249e+07
2.8e-08,1.55532e+06,-3.38127e+07
2.81e-08,1.55078e+06,-3.38112e+07
2.82e-08,1.56109e+06,-3.38391e+07
2.83e-08,1.55994e+06,-3.38495e+07
2.84e-08,1.54156e+06,-3.38458e+07
2.85e-08,1.51828e+06,-3.3857e+07
2.86e-08,1.54524e+06,-3.38681e+07
2.87e-08,1.54419e+06,-3.38838e+07
2.88e-08,1.55365e+06,-3.38371e+07
2.89e-08,1.55273e+06,-3.37842e+07
2.9e-08,1.52921e+06,-3.38953e+07
2.91e-08,1.52891e+06,-3.39164e+07
2.92e-08,1.51442e+06,-3.39238e+07
2.93e-08,1.50042e+06,-3.38863e+07
2.94e-08,1.51326e+06,-3.39198e+07
2.95e-08,1.51357e+06,-3.39477e+07
2.96e-08,1.51123e+06,-3.39384e+07
2.97e-08,1.50567e+06,-3.3894e+07
2.98e-08,1.49558e+06,-3.39553e+07
2.99e-08,1.49776e+06,-3.39774e+07
3e-08,1.49101e+06,-3.39848e+07
3.01e-08,1.47505e+06,-3.39709e+07
3.02e-08,1.46984e+06,-3.39906e+07
3.03e-08,1.48332e+06,-3.40019e+07
3.04e-08,1.48006e+06,-3.40132e+07
3.05e-08,1.46291e+06,-3.4011e+07
3.06e-08,1.443e+06,-3.40201e+07
3.07e-08,1.46733e+06,-3.40256e+07
3.08e-08,1.46295e+06,-3.40463e+07
3.09e-08,1.46552e+06,-3.40194e+07
3.1e-08,1.46041e+06,-3.39598e+07
3.11e-08,1.45219e+06,-3.40433e+07
3.12e-08,1.45291e+06,-3.40699e+07
3.13e-08,1.45113e+06,-3.4063e+07
3.14e-08,1.44669e+06,-3.40202e+07
3.15e-08,1.44071e+06,-3.40536e+07
3.16e-08,1.43871e+06,-3.40933e+07
3.17e-08,1.44311e+06,-3.40868e+07
3.18e-08,1.45119e+06,-3.40308e+07
3.19e-08,1.45365e+06,-3.40148e+07
3.2e-08,1.42342e+06,-3.41136e+07
3.21e-08,1.41705e+06,-3.41352e+07
3.22e-08,1.40715e+06,-3.41388e+07
3.23e-08,1.38549e+06,-3.41176e+07
3.24e-08,1.4083e+06,-3.41272e+07
3.25e-08,1.40968e+06,-3.41539e+07
3.26e-08,1.41825e+06,-3.41313e+07
3.27e-08,1.42207e+06,-3.40765e+07
3.28e-08,1.40152e+06,-3.41268e+07
3.29e-08,1.3952e+06,-3.41744e+07
3.3e-08,1.4083e+06,-3.41638e+07
3.31e-08,1.40901e+06,-3.41229e+07
3.32e-08,1.40495e+06,-3.40952e+07
3.33e-08,1.3804e+06,-3.4188e+07
3.34e-08,1.38166e+06,-3.42087e+07
3.35e-08,1.38082e+06,-3.41955e+07
3.36e-08,1.37608e+06,-3.41574e+07
3.37e-08,1.3696e+06,-3.41911e+07
3.38e-08,1.36754e+06,-3.42291e+07
3.39e-08,1.36767e+06,-3.42328e+07
3.4e-08,1.36437e+06,-3.42104e+07
3.41e-08,1.35875e+06,-3.41895e+07
3.42e-08,1.35299e+06,-3.42414e+07
3.43e-08,1.34942e+06,-3.42655e+07
3.44e-08,1.36644e+06,-3.42238e+07
3.45e-08,1.36672e+06,-3.41735e+07
3.46e-08,1.34095e+06,-3.42441e+07
3.47e-08,1.34027e+06,-3.42794e+07
3.48e-08,1.33332e+06,-3.42966e+07
3.49e-08,1.32164e+06,-3.42927e+07
3.5e-08,1.3237e+06,-3.42603e+07
3.51e-08,1.32601e+06,-3.42885e+07
3.52e-08,1.33197e+06,-3.43041e+07
3.53e-08,1.32693e+06,-3.42997e+07
3.54e-08,1.32318e+06,-3.42628e+07
3.55e-08,1.31572e+06,-3.42866e+07
3.56e-08,1.3138e+06,-3.43246e+07
3.57e-08,1.30788e+06,-3.43443e+07
3.58e-08,1.29644e+06,-3.43456e+07
3.59e-08,1.29855e+06,-3.43051e+07
3.6e-08,1.29938e+06,-3.4329e+07
3.61e-08,1.30143e+06,-3.43542e+07
3.62e-08,1.2895e+06,-3.43738e+07
3.63e-08,1.28132e+06,-3.4353e+07
3.64e-08,1.29757e+06,-3.43128e+07
3.65e-08,1.2875e+06,-3.43645e+07
3.66e-08,1.29871e+06,-3.43681e+07
3.67e-08,1.28747e+06,-3.43688e+07
3.68e-08,1.28301e+06,-3.4334e+07
3.69e-08,1.27634e+06,-3.43609e+07
3.7e-08,1.27556e+06,-3.43947e+07
3.71e-08,1.27637e+06,-3.4399e+07
3.72e-08,1.27497e+06,-3.43754e+07
3.73e-08,1.27836e+06,-3.43317e+07
3.74e-08,1.26143e+06,-3.43969e+07
3.75e-08,1.26248e+06,-3.44226e+07
3.76e-08,1.25075e+06,-3.44427e+07
3.77e-08,1.24402e+06,-3.44206e+07
3.78e-08,1.25484e+06,-3.43835e+07
3.79e-08,1.24965e+06,-3.44281e+07
3.8e-08,1.24694e+06,-3.44448e+07
3.81e-08,1.26627e+06,-3.44016e+07
3.82e-08,1.26551e+06,-3.43546e+07
3.83e-08,1.24062e+06,-3.44176e+07
3.84e-08,1.23826e+06,-3.44551e+07
3.85e-08,1.2395e+06,-3.44639e+07
3.86e-08,1.23775e+06,-3.44511e+07
3.87e-08,1.24437e+06,-3.4391e+07
3.88e-08,1.22589e+06,-3.445e+07
3.89e-08,1.22668e+06,-3.44795e+07
3.9e-08,1.23885e+06,-3.44616e+07
3.91e-08,1.24227e+06,-3.44287e+07
3.92e-08,1.21605e+06,-3.44653e+07
3.93e-08,1.21284e+06,-3.4478e+07
3.94e-08,1.2208e+06,-3.44957e+07
3.95e-08,1.21515e+06,-3.45022e+07
3.96e-08,1.21327e+06,-3.44739e+07
3.97e-08,1.21376e+06,-3.44492e+07
3.98e-08,1.20184e+06,-3.45027e+07
3.99e-08,1.21294e+06,-3.45124e+07
4e-08,1.20315e+06,-3.45196e+07
4.01e-08,1.20094e+06,-3.44873e+07
4.02e-08,1.19083e+06,-3.44901e+07
