Time,max(CACoordsX),min(CACoordsX)
2.71e-08,1.19058e-07,1.18788e-07
2.72e-08,1.18959e-07,1.18693e-07
2.73e-08,1.18858e-07,1.18596e-07
2.74e-08,1.18758e-07,1.18495e-07
2.75e-08,1.18661e-07,1.18391e-07
2.76e-08,1.18563e-07,1.18297e-07
2.77e-08,1.18462e-07,1.182e-07
2.78e-08,1.18362e-07,1.181e-07
2.79e-08,1.18266e-07,1.17997e-07
2.8e-08,1.18169e-07,1.17903e-07
2.81e-08,1.18069e-07,1.17807e-07
2.82e-08,1.17969e-07,1.17708e-07
2.83e-08,1.17874e-07,1.17605e-07
2.84e-08,1.17778e-07,1.17511e-07
2.85e-08,1.17679e-07,1.17416e-07
2.86e-08,1.17579e-07,1.17318e-07
2.87e-08,1.17485e-07,1.17217e-07
2.88e-08,1.17389e-07,1.17122e-07
2.89e-08,1.17291e-07,1.17028e-07
2.9e-08,1.17191e-07,1.16931e-07
2.91e-08,1.17097e-07,1.16831e-07
2.92e-08,1.17002e-07,1.16736e-07
2.93e-08,1.16906e-07,1.16643e-07
2.94e-08,1.16806e-07,1.16547e-07
2.95e-08,1.16713e-07,1.16447e-07
2.96e-08,1.16619e-07,1.16351e-07
2.97e-08,1.16523e-07,1.16259e-07
2.98e-08,1.16424e-07,1.16165e-07
2.99e-08,1.1633e-07,1.16067e-07
3e-08,1.16237e-07,1.15969e-07
3.01e-08,1.16142e-07,1.15878e-07
3.02e-08,1.16045e-07,1.15785e-07
3.03e-08,1.1595e-07,1.15688e-07
3.04e-08,1.15857e-07,1.15589e-07
3.05e-08,1.15764e-07,1.15499e-07
3.06e-08,1.15668e-07,1.15407e-07
3.07e-08,1.15572e-07,1.15311e-07
3.08e-08,1.1548e-07,1.15213e-07
3.09e-08,1.15387e-07,1.15122e-07
3.1e-08,1.15293e-07,1.15031e-07
3.11e-08,1.15196e-07,1.14937e-07
3.12e-08,1.15105e-07,1.1484e-07
3.13e-08,1.15013e-07,1.14747e-07
3.14e-08,1.1492e-07,1.14657e-07
3.15e-08,1.14824e-07,1.14565e-07
3.16e-08,1.14732e-07,1.14469e-07
3.17e-08,1.14641e-07,1.14374e-07
3.18e-08,1.14549e-07,1.14285e-07
3.19e-08,1.14455e-07,1.14194e-07
3.2e-08,1.14361e-07,1.14101e-07
3.21e-08,1.14271e-07,1.14003e-07
3.22e-08,1.1418e-07,1.13915e-07
3.23e-08,1.14087e-07,1.13826e-07
3.24e-08,1.13992e-07,1.13734e-07
3.25e-08,1.13903e-07,1.13638e-07
3.26e-08,1.13813e-07,1.13547e-07
3.27e-08,1.13721e-07,1.13459e-07
3.28e-08,1.13627e-07,1.13369e-07
3.29e-08,1.13537e-07,1.13275e-07
