time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
2.80000365681e-09,-1e+300,1.97314089566e-23,2.95105842562e-25,(1.81050658638e-11 3.56383778992e-27 -5.7741058087e-13),2.80000365681e-09,0.0,0.0,-6.24578865125e-08,2.32039927886e-11,3.75848360092e-27,0.0,1.8316581947e-11,-8.993488660209999e-25,1.85845456327e-11,2.8e-09,1.53105e-07,1.52056e-07
2.89999769992e-09,-1e+300,1.9673972773500002e-23,2.96190982375e-25,(1.81251053199e-11 3.49853446784e-27 -5.6645325977e-13),2.89999769992e-09,0.0,0.0,-6.28812176533e-08,2.3179153136e-11,4.0494260798e-27,0.0,1.8316291639e-11,-8.28172426071e-25,1.85581577592e-11,2.9e-09,1.52878e-07,1.51832e-07
2.99999591369e-09,-1e+300,1.96384932824e-23,2.97355190728e-25,(1.82103525318e-11 3.41969691129e-27 -5.65230265763e-13),2.99999591369e-09,0.0,0.0,-6.44659829702e-08,2.32195420554e-11,4.3207686793e-27,0.0,1.8316019006e-11,-7.58440732091e-25,1.85318124473e-11,3e-09,1.52652e-07,1.51602e-07
3.09999691215e-09,-1e+300,1.95956470265e-23,2.98457316247e-25,(1.82458824051e-11 3.06810191896e-27 -5.57787539341e-13),3.09999691215e-09,0.0,0.0,-6.55694160797e-08,2.32084252224e-11,4.19088937115e-27,0.0,1.83157729499e-11,-6.958666946919998e-25,1.85066123961e-11,3.1e-09,1.5243e-07,1.51384e-07
3.20000436198e-09,-1e+300,1.95510716369e-23,2.99416974993e-25,(1.83047968121e-11 2.42242016423e-27 -5.54007072045e-13),3.20000436198e-09,0.0,0.0,-6.70133921259e-08,2.32215555433e-11,3.65465839861e-27,0.0,1.83155396703e-11,-6.42160600013e-25,1.84809437841e-11,3.2e-09,1.52207e-07,1.51159e-07
3.30000333698e-09,-1e+300,1.95090136999e-23,3.00438572987e-25,(1.83523527676e-11 2.1795656911e-27 -5.49021197701e-13),3.30000333698e-09,0.0,0.0,-6.87401526738e-08,2.32245819374e-11,3.30037531695e-27,0.0,1.83153418681e-11,-5.93805455007e-25,1.8456669854e-11,3.3e-09,1.51988e-07,1.50943e-07
3.40000051381e-09,-1e+300,1.94535492174e-23,3.01489831756e-25,(1.83853917141e-11 2.15196394527e-27 -5.42963420847e-13),3.40000051381e-09,0.0,0.0,-6.84496035695e-08,2.32252733934e-11,2.98257190989e-27,0.0,1.8315152458e-11,-5.43038203644e-25,1.84320643287e-11,3.4e-09,1.51769e-07,1.50723e-07
3.50000240811e-09,-1e+300,1.9412605829600002e-23,3.02468417207e-25,(1.84430225672e-11 2.99462473509e-27 -5.39879624099e-13),3.50000240811e-09,0.0,0.0,-6.99663400158e-08,2.32399257341e-11,3.5034382241300004e-27,0.0,1.83150052701e-11,-4.80969766357e-25,1.84085517713e-11,3.5e-09,1.51553e-07,1.50508e-07
3.60000416731e-09,-1e+300,1.9353195015900002e-23,3.03136470272e-25,(1.84627748379e-11 3.83386483809e-27 -5.3318526148e-13),3.60000416731e-09,0.0,0.0,-7.143994046e-08,2.32113129443e-11,3.96202674811e-27,0.0,1.83148666652e-11,-4.00768955185e-25,1.83851747296e-11,3.6e-09,1.51338e-07,1.50293e-07
3.69999782649e-09,-1e+300,1.9314632666200002e-23,3.04275296404e-25,(1.8526121465e-11 4.32254927138e-27 -5.3047581318e-13),3.69999782649e-09,0.0,0.0,-7.21023664129e-08,2.32450899619e-11,4.23854797125e-27,0.0,1.83147679595e-11,-3.00055825808e-25,1.83623499804e-11,3.7e-09,1.51124e-07,1.50079e-07
3.80000328309e-09,-1e+300,1.92495620032e-23,3.04932013269e-25,(1.85327444722e-11 4.60359190297e-27 -5.24179592662e-13),3.80000328309e-09,0.0,0.0,-7.31497901351e-08,2.3207703139e-11,4.29853520648e-27,0.0,1.8314682922e-11,-1.82471570295e-25,1.8340239258e-11,3.8e-09,1.50913e-07,1.49869e-07
