Time,max(CACoordsX),min(CACoordsX)
2.08e-08,1.25716e-07,1.25478e-07
2.09e-08,1.25603e-07,1.25365e-07
2.1e-08,1.25493e-07,1.25255e-07
2.11e-08,1.25382e-07,1.25144e-07
2.12e-08,1.25272e-07,1.25033e-07
2.13e-08,1.25161e-07,1.24923e-07
2.14e-08,1.25051e-07,1.24811e-07
2.15e-08,1.24941e-07,1.24703e-07
2.16e-08,1.24831e-07,1.24591e-07
2.17e-08,1.24722e-07,1.24483e-07
2.18e-08,1.24611e-07,1.24373e-07
2.19e-08,1.24503e-07,1.24264e-07
2.2e-08,1.24393e-07,1.24155e-07
2.21e-08,1.24285e-07,1.24047e-07
2.22e-08,1.24176e-07,1.23938e-07
2.23e-08,1.24069e-07,1.23829e-07
2.24e-08,1.2396e-07,1.23722e-07
2.25e-08,1.23852e-07,1.23613e-07
2.26e-08,1.23745e-07,1.23507e-07
2.27e-08,1.23637e-07,1.23397e-07
2.28e-08,1.2353e-07,1.23292e-07
2.29e-08,1.23423e-07,1.23183e-07
2.3e-08,1.23317e-07,1.23078e-07
2.31e-08,1.23209e-07,1.2297e-07
2.32e-08,1.23104e-07,1.22865e-07
2.33e-08,1.22996e-07,1.22758e-07
2.34e-08,1.22891e-07,1.22652e-07
2.35e-08,1.22785e-07,1.22546e-07
2.36e-08,1.2268e-07,1.22441e-07
2.37e-08,1.22574e-07,1.22335e-07
2.38e-08,1.22469e-07,1.2223e-07
2.39e-08,1.22364e-07,1.22125e-07
2.4e-08,1.22259e-07,1.22019e-07
2.41e-08,1.22154e-07,1.21916e-07
2.42e-08,1.2205e-07,1.2181e-07
2.43e-08,1.21946e-07,1.21707e-07
2.44e-08,1.21841e-07,1.21601e-07
2.45e-08,1.21738e-07,1.21499e-07
2.46e-08,1.21634e-07,1.21394e-07
2.47e-08,1.2153e-07,1.21292e-07
2.48e-08,1.21426e-07,1.21187e-07
2.49e-08,1.21324e-07,1.21085e-07
2.5e-08,1.2122e-07,1.20981e-07
2.51e-08,1.21118e-07,1.20879e-07
2.52e-08,1.21015e-07,1.20775e-07
2.53e-08,1.20913e-07,1.20674e-07
2.54e-08,1.2081e-07,1.20571e-07
2.55e-08,1.20709e-07,1.20469e-07
2.56e-08,1.20605e-07,1.20367e-07
2.57e-08,1.20505e-07,1.20266e-07
2.58e-08,1.20402e-07,1.20163e-07
2.59e-08,1.20302e-07,1.20063e-07
2.6e-08,1.20199e-07,1.19961e-07
2.61e-08,1.201e-07,1.1986e-07
2.62e-08,1.19997e-07,1.19759e-07
2.63e-08,1.19898e-07,1.19658e-07
2.64e-08,1.19796e-07,1.19557e-07
