Time,max(CACoordsX),min(CACoordsX)
2.6e-08,1.21602e-07,1.21272e-07
2.61e-08,1.21504e-07,1.2117e-07
2.62e-08,1.21407e-07,1.21074e-07
2.63e-08,1.21307e-07,1.20977e-07
2.64e-08,1.21205e-07,1.20876e-07
2.65e-08,1.21108e-07,1.20774e-07
2.66e-08,1.21011e-07,1.20679e-07
2.67e-08,1.20912e-07,1.20582e-07
2.68e-08,1.20811e-07,1.20482e-07
2.69e-08,1.20714e-07,1.20381e-07
2.7e-08,1.20618e-07,1.20286e-07
2.71e-08,1.2052e-07,1.2019e-07
2.72e-08,1.2042e-07,1.20091e-07
2.73e-08,1.20323e-07,1.19989e-07
2.74e-08,1.20227e-07,1.19896e-07
2.75e-08,1.2013e-07,1.198e-07
2.76e-08,1.2003e-07,1.19702e-07
2.77e-08,1.19933e-07,1.196e-07
2.78e-08,1.19838e-07,1.19507e-07
2.79e-08,1.19742e-07,1.19413e-07
2.8e-08,1.19643e-07,1.19315e-07
2.81e-08,1.19546e-07,1.19215e-07
2.82e-08,1.19452e-07,1.19121e-07
2.83e-08,1.19356e-07,1.19027e-07
2.84e-08,1.19259e-07,1.18931e-07
2.85e-08,1.19162e-07,1.18832e-07
2.86e-08,1.19068e-07,1.18737e-07
2.87e-08,1.18973e-07,1.18644e-07
2.88e-08,1.18876e-07,1.18549e-07
2.89e-08,1.18779e-07,1.18451e-07
2.9e-08,1.18686e-07,1.18355e-07
2.91e-08,1.18592e-07,1.18263e-07
2.92e-08,1.18496e-07,1.18169e-07
2.93e-08,1.18398e-07,1.18072e-07
2.94e-08,1.18306e-07,1.17975e-07
2.95e-08,1.18213e-07,1.17884e-07
2.96e-08,1.18118e-07,1.17791e-07
2.97e-08,1.18022e-07,1.17695e-07
2.98e-08,1.17928e-07,1.17597e-07
2.99e-08,1.17836e-07,1.17507e-07
3e-08,1.17742e-07,1.17415e-07
3.01e-08,1.17647e-07,1.17321e-07
3.02e-08,1.17553e-07,1.17224e-07
3.03e-08,1.17461e-07,1.17132e-07
3.04e-08,1.17368e-07,1.17041e-07
3.05e-08,1.17274e-07,1.16948e-07
3.06e-08,1.17179e-07,1.16852e-07
3.07e-08,1.17088e-07,1.16759e-07
3.08e-08,1.16997e-07,1.16669e-07
3.09e-08,1.16903e-07,1.16577e-07
3.1e-08,1.16808e-07,1.16483e-07
