Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
2.6e-09,1.53328e-07,1.52969e-07,1.53985e-07,1.52969e-07,2.5999994269e-09,-1e+300,1.63544343513e-23,2.70249793748e-25,(1.70031199268e-11 2.54407166694e-27 -6.06051014128e-13),2.5999994269e-09,0.0,0.0,-5.26796073458e-08,2.21678369788e-11,2.72817762776e-27,0.0,1.77347389593e-11,-9.913871602809999e-25,1.80705250264e-11
2.7e-09,1.53115e-07,1.52754e-07,1.5377e-07,1.52754e-07,2.69999653422e-09,-1e+300,1.63158393092e-23,2.7124735679e-25,(1.70415135611e-11 2.91476559783e-27 -5.96995332688e-13),2.69999653422e-09,0.0,0.0,-5.34843049599e-08,2.21607787705e-11,2.8831556163e-27,0.0,1.772302118e-11,-9.86558350354e-25,1.80298357933e-11
2.8e-09,1.52906e-07,1.52546e-07,1.53559e-07,1.52546e-07,2.80000130141e-09,-1e+300,1.6246235909900002e-23,2.71942474351e-25,(1.70902204586e-11 3.4617121022e-27 -5.92076512713e-13),2.80000130141e-09,0.0,0.0,-5.42934714162e-08,2.2166130047e-11,3.46604766473e-27,0.0,1.77119879211e-11,-9.66458950978e-25,1.7991493244e-11
2.9e-09,1.52696e-07,1.52335e-07,1.53349e-07,1.52335e-07,2.89999861883e-09,-1e+300,1.61999040672e-23,2.72652936776e-25,(1.71116729088e-11 3.84299247954e-27 -5.81710213424e-13),2.89999861883e-09,0.0,0.0,-5.52022343911e-08,2.21397336082e-11,3.75062062655e-27,0.0,1.77013569138e-11,-9.31853572199e-25,1.79530437659e-11
3e-09,1.5249e-07,1.5213e-07,1.53141e-07,1.5213e-07,2.99999835625e-09,-1e+300,1.6142878615200002e-23,2.73455161754e-25,(1.71690057528e-11 4.24980059712e-27 -5.78356846449e-13),2.99999835625e-09,0.0,0.0,-5.60066134743e-08,2.21591948774e-11,4.32013535241e-27,0.0,1.76913397651e-11,-8.85477528031e-25,1.79163379718e-11
3.1e-09,1.52284e-07,1.51923e-07,1.52935e-07,1.51923e-07,3.10000310143e-09,-1e+300,1.6092381528400002e-23,2.73986013904e-25,(1.71776504754e-11 4.37012626483e-27 -5.67081953771e-13),3.10000310143e-09,0.0,0.0,-5.69147044677e-08,2.211990225e-11,4.48253250597e-27,0.0,1.76817838957e-11,-8.31387540096e-25,1.78802312956e-11
3.2e-09,1.52081e-07,1.5172e-07,1.5273e-07,1.5172e-07,3.20000424164e-09,-1e+300,1.60444609817e-23,2.74769849435e-25,(1.72420725751e-11 4.32556899503e-27 -5.65232604301e-13),3.20000424164e-09,0.0,0.0,-5.78802876988e-08,2.21471711503e-11,4.56203841555e-27,0.0,1.76727650524e-11,-7.74164808286e-25,1.78451950762e-11
3.29999e-09,1.51879e-07,1.51516e-07,1.52528e-07,1.51516e-07,3.29999519717e-09,-1e+300,1.59911919456e-23,2.75274267027e-25,(1.72423703859e-11 4.15240005344e-27 -5.53388122823e-13),3.29999519717e-09,0.0,0.0,-5.86258568424e-08,2.21038907126e-11,4.43202456705e-27,0.0,1.76642395967e-11,-7.17680544643e-25,1.78113629168e-11
3.39999e-09,1.51679e-07,1.51317e-07,1.52326e-07,1.51317e-07,3.39999516122e-09,-1e+300,1.59499203178e-23,2.7615186103e-25,(1.73092518957e-11 3.26222977051e-27 -5.52852185559e-13),3.39999516122e-09,0.0,0.0,-5.93958609588e-08,2.21404055409e-11,3.59481607163e-27,0.0,1.7656188729e-11,-6.64235471552e-25,1.77780212146e-11
3.5e-09,1.51479e-07,1.51116e-07,1.52127e-07,1.51116e-07,3.5000035668e-09,-1e+300,1.59017981017e-23,2.76600231008e-25,(1.73130420599e-11 2.71551902398e-27 -5.42220271437e-13),3.5000035668e-09,0.0,0.0,-6.03420605813e-08,2.21000748753e-11,3.18904048669e-27,0.0,1.76486343835e-11,-6.13910121556e-25,1.77462905745e-11
