Time,max(CACoordsX),min(CACoordsX)
2.74e-08,1.18396e-07,1.1813e-07
2.75e-08,1.18302e-07,1.18027e-07
2.76e-08,1.18206e-07,1.17931e-07
2.77e-08,1.18107e-07,1.17837e-07
2.78e-08,1.18006e-07,1.17739e-07
2.79e-08,1.17912e-07,1.17638e-07
2.8e-08,1.17816e-07,1.17542e-07
2.81e-08,1.17719e-07,1.17448e-07
2.82e-08,1.17619e-07,1.17351e-07
2.83e-08,1.17524e-07,1.17251e-07
2.84e-08,1.1743e-07,1.17154e-07
2.85e-08,1.17333e-07,1.17062e-07
2.86e-08,1.17234e-07,1.16966e-07
2.87e-08,1.17139e-07,1.16867e-07
2.88e-08,1.17045e-07,1.16769e-07
2.89e-08,1.1695e-07,1.16677e-07
2.9e-08,1.16852e-07,1.16583e-07
2.91e-08,1.16756e-07,1.16486e-07
2.92e-08,1.16663e-07,1.16386e-07
2.93e-08,1.16569e-07,1.16296e-07
2.94e-08,1.16472e-07,1.16203e-07
2.95e-08,1.16375e-07,1.16107e-07
2.96e-08,1.16283e-07,1.16006e-07
2.97e-08,1.1619e-07,1.15916e-07
2.98e-08,1.16095e-07,1.15825e-07
2.99e-08,1.15997e-07,1.1573e-07
3e-08,1.15906e-07,1.15631e-07
3.01e-08,1.15814e-07,1.15539e-07
3.02e-08,1.1572e-07,1.15448e-07
3.03e-08,1.15623e-07,1.15355e-07
3.04e-08,1.15531e-07,1.15258e-07
3.05e-08,1.1544e-07,1.15164e-07
3.06e-08,1.15347e-07,1.15074e-07
3.07e-08,1.15251e-07,1.14983e-07
3.08e-08,1.15158e-07,1.14888e-07
3.09e-08,1.15068e-07,1.1479e-07
3.1e-08,1.14976e-07,1.14702e-07
3.11e-08,1.14882e-07,1.14612e-07
3.12e-08,1.14787e-07,1.14519e-07
3.13e-08,1.14698e-07,1.14422e-07
3.14e-08,1.14607e-07,1.14332e-07
3.15e-08,1.14515e-07,1.14243e-07
3.16e-08,1.1442e-07,1.14152e-07
3.17e-08,1.14329e-07,1.14057e-07
3.18e-08,1.1424e-07,1.13964e-07
3.19e-08,1.14149e-07,1.13876e-07
3.2e-08,1.14056e-07,1.13787e-07
3.21e-08,1.13963e-07,1.13694e-07
3.22e-08,1.13875e-07,1.13597e-07
3.23e-08,1.13785e-07,1.13511e-07
3.24e-08,1.13694e-07,1.13423e-07
3.25e-08,1.13599e-07,1.13332e-07
3.26e-08,1.13512e-07,1.13237e-07
3.27e-08,1.13424e-07,1.13148e-07
3.28e-08,1.13333e-07,1.13061e-07
3.29e-08,1.13241e-07,1.12972e-07
3.3e-08,1.13151e-07,1.1288e-07
3.31e-08,1.13063e-07,1.12786e-07
3.32e-08,1.12975e-07,1.12701e-07
3.33e-08,1.12884e-07,1.12613e-07
3.34e-08,1.12791e-07,1.12523e-07
3.35e-08,1.12705e-07,1.12429e-07
3.36e-08,1.12617e-07,1.12362e-07
3.37e-08,1.12527e-07,1.12306e-07
3.38e-08,1.12436e-07,1.12248e-07
3.39e-08,1.12349e-07,1.12189e-07
3.4e-08,1.12262e-07,1.12128e-07
3.41e-08,1.12174e-07,1.12064e-07
3.42e-08,1.12084e-07,1.11993e-07
3.43e-08,1.11992e-07,1.11825e-07
3.44e-08,1.11907e-07,1.11653e-07
3.45e-08,1.1182e-07,1.11542e-07
3.46e-08,1.11731e-07,1.11457e-07
3.47e-08,1.11641e-07,1.1137e-07
3.48e-08,1.11551e-07,1.11279e-07
3.49e-08,1.11466e-07,1.11188e-07
3.5e-08,1.11379e-07,1.11104e-07
3.51e-08,1.11291e-07,1.11019e-07
3.52e-08,1.11199e-07,1.10931e-07
3.53e-08,1.11115e-07,1.1084e-07
3.54e-08,1.1103e-07,1.10753e-07
3.55e-08,1.10943e-07,1.1067e-07
3.56e-08,1.10854e-07,1.10584e-07
3.57e-08,1.10766e-07,1.10496e-07
3.58e-08,1.10683e-07,1.10404e-07
3.59e-08,1.10598e-07,1.10322e-07
3.6e-08,1.10511e-07,1.10238e-07
3.61e-08,1.10421e-07,1.10152e-07
3.62e-08,1.10337e-07,1.10063e-07
3.63e-08,1.10253e-07,1.09975e-07
3.64e-08,1.10168e-07,1.09893e-07
3.65e-08,1.10081e-07,1.0981e-07
3.66e-08,1.09992e-07,1.09723e-07
3.67e-08,1.0991e-07,1.09634e-07
3.68e-08,1.09826e-07,1.09549e-07
3.69e-08,1.09741e-07,1.09467e-07
3.7e-08,1.09654e-07,1.09383e-07
3.71e-08,1.09568e-07,1.09297e-07
3.72e-08,1.09486e-07,1.09207e-07
3.73e-08,1.09402e-07,1.09126e-07
3.74e-08,1.09317e-07,1.09044e-07
3.75e-08,1.0923e-07,1.0896e-07
3.76e-08,1.09146e-07,1.08873e-07
3.77e-08,1.09064e-07,1.08785e-07
3.78e-08,1.08981e-07,1.08705e-07
3.79e-08,1.08896e-07,1.08623e-07
3.8e-08,1.08808e-07,1.08539e-07
3.81e-08,1.08727e-07,1.08452e-07
3.82e-08,1.08645e-07,1.08367e-07
3.83e-08,1.08562e-07,1.08287e-07
3.84e-08,1.08477e-07,1.08205e-07
3.85e-08,1.0839e-07,1.08121e-07
3.86e-08,1.0831e-07,1.08034e-07
3.87e-08,1.08229e-07,1.07951e-07
3.88e-08,1.08146e-07,1.07871e-07
3.89e-08,1.08061e-07,1.0779e-07
3.9e-08,1.07976e-07,1.07705e-07
3.91e-08,1.07896e-07,1.07618e-07
3.92e-08,1.07815e-07,1.07538e-07
3.93e-08,1.07732e-07,1.07458e-07
3.94e-08,1.07647e-07,1.07377e-07
3.95e-08,1.07564e-07,1.07292e-07
3.96e-08,1.07484e-07,1.07205e-07
3.97e-08,1.07404e-07,1.07127e-07
3.98e-08,1.07321e-07,1.07047e-07
3.99e-08,1.07237e-07,1.06966e-07
4e-08,1.07155e-07,1.06882e-07
4.01e-08,1.07075e-07,1.06795e-07
4.02e-08,1.06995e-07,1.06718e-07
4.03e-08,1.06913e-07,1.06639e-07
4.04e-08,1.06828e-07,1.06558e-07
4.05e-08,1.06748e-07,1.06474e-07
4.06e-08,1.06669e-07,1.06389e-07
4.07e-08,1.06588e-07,1.06312e-07
4.08e-08,1.06507e-07,1.06233e-07
4.09e-08,1.06423e-07,1.06152e-07
4.1e-08,1.06343e-07,1.06069e-07
4.11e-08,1.06264e-07,1.05985e-07
4.12e-08,1.06185e-07,1.05908e-07
4.13e-08,1.06103e-07,1.0583e-07
4.14e-08,1.0602e-07,1.05749e-07
4.15e-08,1.0594e-07,1.05666e-07
4.16e-08,1.05862e-07,1.05583e-07
4.17e-08,1.05783e-07,1.05506e-07
4.18e-08,1.05702e-07,1.05428e-07
4.19e-08,1.05619e-07,1.05348e-07
4.2e-08,1.0554e-07,1.05266e-07
4.21e-08,1.05463e-07,1.05183e-07
4.22e-08,1.05384e-07,1.05107e-07
4.23e-08,1.05303e-07,1.0503e-07
4.24e-08,1.05221e-07,1.0495e-07
4.25e-08,1.05142e-07,1.04868e-07
4.26e-08,1.05065e-07,1.04785e-07
4.27e-08,1.04987e-07,1.0471e-07
4.28e-08,1.04907e-07,1.04633e-07
4.29e-08,1.04825e-07,1.04554e-07
4.3e-08,1.04746e-07,1.04472e-07
4.31e-08,1.0467e-07,1.04389e-07
4.32e-08,1.04592e-07,1.04315e-07
4.33e-08,1.04513e-07,1.04238e-07
4.34e-08,1.04431e-07,1.0416e-07
4.35e-08,1.04353e-07,1.04079e-07
4.36e-08,1.04277e-07,1.03996e-07
4.37e-08,1.04199e-07,1.03922e-07
4.38e-08,1.04121e-07,1.03846e-07
4.39e-08,1.0404e-07,1.03768e-07
4.4e-08,1.03961e-07,1.03688e-07
4.41e-08,1.03886e-07,1.03605e-07
4.42e-08,1.03809e-07,1.03531e-07
4.43e-08,1.03731e-07,1.03456e-07
4.44e-08,1.03651e-07,1.03379e-07
4.45e-08,1.03572e-07,1.03299e-07
4.46e-08,1.03497e-07,1.03217e-07
4.47e-08,1.03421e-07,1.03142e-07
4.48e-08,1.03343e-07,1.03068e-07
4.49e-08,1.03264e-07,1.02991e-07
4.5e-08,1.03184e-07,1.02913e-07
4.51e-08,1.0311e-07,1.02832e-07
4.52e-08,1.03035e-07,1.02755e-07
4.53e-08,1.02958e-07,1.02681e-07
4.54e-08,1.02879e-07,1.02606e-07
4.55e-08,1.02799e-07,1.02528e-07
4.56e-08,1.02725e-07,1.02448e-07
4.57e-08,1.0265e-07,1.0237e-07
4.58e-08,1.02574e-07,1.02297e-07
4.59e-08,1.02497e-07,1.02222e-07
4.6e-08,1.02417e-07,1.02146e-07
4.61e-08,1.02342e-07,1.02066e-07
4.62e-08,1.02268e-07,1.01987e-07
4.63e-08,1.02193e-07,1.01915e-07
4.64e-08,1.02116e-07,1.01841e-07
4.65e-08,1.02037e-07,1.01765e-07
4.66e-08,1.01961e-07,1.01687e-07
4.67e-08,1.01887e-07,1.01606e-07
4.68e-08,1.01813e-07,1.01534e-07
4.69e-08,1.01737e-07,1.01461e-07
4.7e-08,1.01659e-07,1.01386e-07
4.71e-08,1.01582e-07,1.01309e-07
4.72e-08,1.01509e-07,1.0123e-07
4.73e-08,1.01435e-07,1.01155e-07
4.74e-08,1.0136e-07,1.01083e-07
4.75e-08,1.01283e-07,1.01009e-07
4.76e-08,1.01205e-07,1.00933e-07
4.77e-08,1.01132e-07,1.00855e-07
4.78e-08,1.01059e-07,1.00778e-07
4.79e-08,1.00985e-07,1.00707e-07
4.8e-08,1.00909e-07,1.00634e-07
4.81e-08,1.00832e-07,1.00559e-07
4.82e-08,1.00757e-07,1.00482e-07
4.83e-08,1.00685e-07,1.00403e-07
4.84e-08,1.00611e-07,1.00332e-07
4.85e-08,1.00536e-07,1.0026e-07
4.86e-08,1.0046e-07,1.00186e-07
4.87e-08,1.00383e-07,1.00111e-07
4.88e-08,1.00312e-07,1.00033e-07
4.89e-08,1.00239e-07,9.99587e-08
4.9e-08,1.00166e-07,9.98879e-08
4.91e-08,1.0009e-07,9.98155e-08
4.92e-08,1.00013e-07,9.97411e-08
4.93e-08,9.99408e-08,9.96643e-08
4.94e-08,9.98691e-08,9.95871e-08
4.95e-08,9.97963e-08,9.95173e-08
4.96e-08,9.97221e-08,9.9446e-08
4.97e-08,9.96462e-08,9.93728e-08
4.98e-08,9.95714e-08,9.92975e-08
4.99e-08,9.95004e-08,9.92197e-08
5e-08,9.94285e-08,9.91481e-08
5.01e-08,9.93554e-08,9.90779e-08
5.02e-08,9.92807e-08,9.90059e-08
5.03e-08,9.92042e-08,9.8932e-08
5.04e-08,9.91333e-08,9.88558e-08
5.05e-08,9.90623e-08,9.87803e-08
5.06e-08,9.89901e-08,9.87111e-08
5.07e-08,9.89166e-08,9.86404e-08
5.08e-08,9.88414e-08,9.85678e-08
5.09e-08,9.87677e-08,9.84932e-08
5.1e-08,9.86975e-08,9.84162e-08
5.11e-08,9.86263e-08,9.83457e-08
5.12e-08,9.85538e-08,9.82761e-08
5.13e-08,9.84799e-08,9.82049e-08
5.14e-08,9.84042e-08,9.81318e-08
5.15e-08,9.83341e-08,9.80564e-08
5.16e-08,9.82638e-08,9.79816e-08
5.17e-08,9.81924e-08,9.79131e-08
5.18e-08,9.81197e-08,9.78432e-08
5.19e-08,9.80454e-08,9.77715e-08
5.2e-08,9.79722e-08,9.76977e-08
5.21e-08,9.79027e-08,9.76217e-08
5.22e-08,9.78323e-08,9.75513e-08
5.23e-08,9.77608e-08,9.74825e-08
5.24e-08,9.76878e-08,9.74122e-08
5.25e-08,9.76131e-08,9.73401e-08
5.26e-08,9.75429e-08,9.72658e-08
5.27e-08,9.74735e-08,9.71906e-08
5.28e-08,9.7403e-08,9.7123e-08
5.29e-08,9.73313e-08,9.7054e-08
5.3e-08,9.7258e-08,9.69834e-08
5.31e-08,9.71845e-08,9.69108e-08
5.32e-08,9.71159e-08,9.68359e-08
5.33e-08,9.70464e-08,9.67645e-08
5.34e-08,9.69759e-08,9.66968e-08
5.35e-08,9.69039e-08,9.66276e-08
5.36e-08,9.68304e-08,9.65566e-08
5.37e-08,9.67595e-08,9.64835e-08
5.38e-08,9.6691e-08,9.64082e-08
5.39e-08,9.66215e-08,9.63405e-08
5.4e-08,9.65509e-08,9.62726e-08
5.41e-08,9.64788e-08,9.62032e-08
5.42e-08,9.64051e-08,9.61319e-08
5.43e-08,9.63367e-08,9.60585e-08
5.44e-08,9.62682e-08,9.59851e-08
5.45e-08,9.61988e-08,9.59185e-08
5.46e-08,9.6128e-08,9.58505e-08
5.47e-08,9.60558e-08,9.57809e-08
5.48e-08,9.59835e-08,9.57093e-08
5.49e-08,9.5916e-08,9.56356e-08
5.5e-08,9.58476e-08,9.55652e-08
5.51e-08,9.57781e-08,9.54986e-08
5.52e-08,9.57074e-08,9.54305e-08
5.53e-08,9.56351e-08,9.53607e-08
5.54e-08,9.55648e-08,9.52889e-08
5.55e-08,9.54974e-08,9.52149e-08
5.56e-08,9.54291e-08,9.51474e-08
5.57e-08,9.53597e-08,9.50807e-08
5.58e-08,9.52889e-08,9.50125e-08
5.59e-08,9.52165e-08,9.49426e-08
5.6e-08,9.51482e-08,9.48706e-08
5.61e-08,9.50809e-08,9.47969e-08
5.62e-08,9.50127e-08,9.47315e-08
5.63e-08,9.49433e-08,9.46648e-08
5.64e-08,9.48726e-08,9.45966e-08
5.65e-08,9.48e-08,9.45266e-08
5.66e-08,9.47336e-08,9.44545e-08
5.67e-08,9.46665e-08,9.4383e-08
5.68e-08,9.45984e-08,9.43177e-08
5.69e-08,9.45291e-08,9.4251e-08
5.7e-08,9.44584e-08,9.41828e-08
5.71e-08,9.43872e-08,9.41128e-08
5.72e-08,9.43211e-08,9.40407e-08
5.73e-08,9.42542e-08,9.3971e-08
5.74e-08,9.41862e-08,9.39058e-08
5.75e-08,9.41171e-08,9.38393e-08
5.76e-08,9.40465e-08,9.37711e-08
5.77e-08,9.39766e-08,9.37011e-08
5.78e-08,9.39106e-08,9.3629e-08
5.79e-08,9.38439e-08,9.35611e-08
5.8e-08,9.37761e-08,9.3496e-08
5.81e-08,9.37071e-08,9.34295e-08
5.82e-08,9.36366e-08,9.33615e-08
5.83e-08,9.35679e-08,9.32915e-08
5.84e-08,9.35022e-08,9.32195e-08
5.85e-08,9.34357e-08,9.3153e-08
5.86e-08,9.33681e-08,9.30881e-08
5.87e-08,9.32993e-08,9.30218e-08
5.88e-08,9.32289e-08,9.29539e-08
5.89e-08,9.31612e-08,9.28841e-08
5.9e-08,9.30957e-08,9.28121e-08
5.91e-08,9.30295e-08,9.27469e-08
5.92e-08,9.29621e-08,9.26822e-08
5.93e-08,9.28935e-08,9.26161e-08
5.94e-08,9.28234e-08,9.25484e-08
5.95e-08,9.27564e-08,9.24788e-08
5.96e-08,9.26913e-08,9.2407e-08
5.97e-08,9.26252e-08,9.23428e-08
5.98e-08,9.25582e-08,9.22783e-08
5.99e-08,9.24898e-08,9.22124e-08
6e-08,9.242e-08,9.21449e-08
6.01e-08,9.23536e-08,9.20756e-08
6.02e-08,9.22887e-08,9.20041e-08
6.03e-08,9.2223e-08,9.19405e-08
6.04e-08,9.21562e-08,9.18763e-08
6.05e-08,9.20882e-08,9.18107e-08
6.06e-08,9.20186e-08,9.17435e-08
