Time,max(CACoordsX),min(CACoordsX),max(Result),min(Result),max(coordsX),min(coordsX)
1.93e-08,1.26976e-07,1.26702e-07,1955240.0,-32020100.0,1.27749e-07,1.26702e-07
1.94e-08,1.26859e-07,1.26589e-07,1950650.0,-32022100.0,1.27634e-07,1.26589e-07
1.95e-08,1.26744e-07,1.26472e-07,1935030.0,-31985900.0,1.27519e-07,1.26472e-07
1.96e-08,1.26632e-07,1.26355e-07,1932590.0,-32043900.0,1.27405e-07,1.26355e-07
1.97e-08,1.26517e-07,1.26245e-07,1931790.0,-32068300.0,1.27291e-07,1.26245e-07
1.98e-08,1.26399e-07,1.26131e-07,1932140.0,-32039600.0,1.27177e-07,1.26131e-07
1.99e-08,1.26289e-07,1.26012e-07,1934350.0,-31998700.0,1.27064e-07,1.26012e-07
2e-08,1.26177e-07,1.25903e-07,1912710.0,-32088300.0,1.26951e-07,1.25903e-07
2.01e-08,1.26062e-07,1.25792e-07,1907200.0,-32107600.0,1.26838e-07,1.25792e-07
2.02e-08,1.25948e-07,1.25677e-07,1893350.0,-32072100.0,1.26724e-07,1.25677e-07
2.03e-08,1.25838e-07,1.25562e-07,1888710.0,-32120000.0,1.26669e-07,1.25562e-07
2.04e-08,1.25726e-07,1.25454e-07,1888850.0,-32149200.0,1.26501e-07,1.25454e-07
2.05e-08,1.2561e-07,1.25342e-07,1873910.0,-32150400.0,1.26388e-07,1.25342e-07
2.06e-08,1.25501e-07,1.25225e-07,1881140.0,-32133100.0,1.26276e-07,1.25225e-07
2.07e-08,1.25391e-07,1.25116e-07,1868190.0,-32176200.0,1.26165e-07,1.25116e-07
2.08e-08,1.25278e-07,1.25008e-07,1865870.0,-32189800.0,1.26054e-07,1.25008e-07
2.09e-08,1.25165e-07,1.24895e-07,1855160.0,-32159700.0,1.25942e-07,1.24895e-07
2.1e-08,1.25057e-07,1.2478e-07,1845940.0,-32186200.0,1.25832e-07,1.2478e-07
2.11e-08,1.24947e-07,1.24674e-07,1847410.0,-32224700.0,1.25722e-07,1.24674e-07
2.12e-08,1.24833e-07,1.24565e-07,1846340.0,-32217500.0,1.25611e-07,1.24565e-07
2.13e-08,1.24724e-07,1.24451e-07,1808090.0,-32217000.0,1.25501e-07,1.24451e-07
2.14e-08,1.24616e-07,1.24341e-07,1826550.0,-32242000.0,1.25392e-07,1.24341e-07
2.15e-08,1.24506e-07,1.24235e-07,1825860.0,-32267300.0,1.25282e-07,1.24235e-07
2.16e-08,1.24392e-07,1.24125e-07,1818820.0,-32248400.0,1.25172e-07,1.24125e-07
