Time,max(Result),min(Result)
1.85e-08,1.7338e+06,-5.7386e+06
1.86e-08,1.73491e+06,-5.74081e+06
1.87e-08,1.73387e+06,-5.7478e+06
1.88e-08,1.73061e+06,-5.75516e+06
1.89e-08,1.72546e+06,-5.76168e+06
1.9e-08,1.71851e+06,-5.76773e+06
1.91e-08,1.70945e+06,-5.77484e+06
1.92e-08,1.70841e+06,-5.78108e+06
1.93e-08,1.7133e+06,-5.78596e+06
1.94e-08,1.71639e+06,-5.78969e+06
1.95e-08,1.7177e+06,-5.79184e+06
1.96e-08,1.71687e+06,-5.79551e+06
1.97e-08,1.7139e+06,-5.80284e+06
1.98e-08,1.70912e+06,-5.80963e+06
1.99e-08,1.70262e+06,-5.81585e+06
2e-08,1.69393e+06,-5.82242e+06
2.01e-08,1.69303e+06,-5.8281e+06
2.02e-08,1.6975e+06,-5.83372e+06
2.03e-08,1.70094e+06,-5.83755e+06
2.04e-08,1.70266e+06,-5.83982e+06
2.05e-08,1.70229e+06,-5.84053e+06
2.06e-08,1.6998e+06,-5.84708e+06
2.07e-08,1.69565e+06,-5.85408e+06
2.08e-08,1.68967e+06,-5.86074e+06
2.09e-08,1.68175e+06,-5.86578e+06
2.1e-08,1.67874e+06,-5.87326e+06
2.11e-08,1.68445e+06,-5.87852e+06
2.12e-08,1.68852e+06,-5.88263e+06
2.13e-08,1.69096e+06,-5.88522e+06
2.14e-08,1.69137e+06,-5.88628e+06
2.15e-08,1.68973e+06,-5.88826e+06
2.16e-08,1.68646e+06,-5.89555e+06
2.17e-08,1.68128e+06,-5.90277e+06
2.18e-08,1.67454e+06,-5.90667e+06
2.19e-08,1.66773e+06,-5.91676e+06
2.2e-08,1.67451e+06,-5.92082e+06
2.21e-08,1.67941e+06,-5.92538e+06
2.22e-08,1.68276e+06,-5.92846e+06
2.23e-08,1.68416e+06,-5.93002e+06
2.24e-08,1.6826e+06,-5.93145e+06
2.25e-08,1.6813e+06,-5.93419e+06
2.26e-08,1.67716e+06,-5.94196e+06
2.27e-08,1.67131e+06,-5.94706e+06
2.28e-08,1.66243e+06,-5.95454e+06
2.29e-08,1.66925e+06,-5.95894e+06
2.3e-08,1.67327e+06,-5.96568e+06
2.31e-08,1.67764e+06,-5.96942e+06
2.32e-08,1.68014e+06,-5.97164e+06
2.33e-08,1.67873e+06,-5.97514e+06
2.34e-08,1.67834e+06,-5.9732e+06
2.35e-08,1.67658e+06,-5.97828e+06
2.36e-08,1.6715e+06,-5.98587e+06
2.37e-08,1.66419e+06,-5.99246e+06
2.38e-08,1.66273e+06,-5.99772e+06
2.39e-08,1.66958e+06,-6.00344e+06
2.4e-08,1.67509e+06,-6.00794e+06
2.41e-08,1.67849e+06,-6.01328e+06
2.42e-08,1.68075e+06,-6.01246e+06
2.43e-08,1.68255e+06,-6.01117e+06
2.44e-08,1.67905e+06,-6.01369e+06
2.45e-08,1.6648e+06,-6.03405e+06
2.46e-08,1.66938e+06,-6.02753e+06
2.47e-08,1.68065e+06,-6.01048e+06
2.48e-08,1.66769e+06,-6.03866e+06
2.49e-08,1.6744e+06,-6.04404e+06
2.5e-08,1.67951e+06,-6.04798e+06
2.51e-08,1.68285e+06,-6.05042e+06
2.52e-08,1.68507e+06,-6.05103e+06
2.53e-08,1.68407e+06,-6.05218e+06
2.54e-08,1.68183e+06,-6.05394e+06
2.55e-08,1.68017e+06,-6.05704e+06
2.56e-08,1.67079e+06,-6.06715e+06
2.57e-08,1.66629e+06,-6.07306e+06
2.58e-08,1.67418e+06,-6.07776e+06
2.59e-08,1.68064e+06,-6.08272e+06
2.6e-08,1.68543e+06,-6.08626e+06
2.61e-08,1.68857e+06,-6.08845e+06
2.62e-08,1.6883e+06,-6.09243e+06
2.63e-08,1.68908e+06,-6.09106e+06
2.64e-08,1.68972e+06,-6.08867e+06
2.65e-08,1.6817e+06,-6.0977e+06
2.66e-08,1.67413e+06,-6.10498e+06
2.67e-08,1.67349e+06,-6.11077e+06
2.68e-08,1.68116e+06,-6.11506e+06
2.69e-08,1.68728e+06,-6.11978e+06
2.7e-08,1.69189e+06,-6.12311e+06
2.71e-08,1.69464e+06,-6.12531e+06
2.72e-08,1.69541e+06,-6.12646e+06
2.73e-08,1.6945e+06,-6.12881e+06
2.74e-08,1.69102e+06,-6.13205e+06
2.75e-08,1.68608e+06,-6.13384e+06
2.76e-08,1.67818e+06,-6.14116e+06
2.77e-08,1.68161e+06,-6.14692e+06
2.78e-08,1.68897e+06,-6.15092e+06
2.79e-08,1.69489e+06,-6.15526e+06
2.8e-08,1.69906e+06,-6.15867e+06
2.81e-08,1.70179e+06,-6.16017e+06
2.82e-08,1.70191e+06,-6.16232e+06
2.83e-08,1.70052e+06,-6.1652e+06
2.84e-08,1.69697e+06,-6.16826e+06
2.85e-08,1.69057e+06,-6.1705e+06
2.86e-08,1.68319e+06,-6.17586e+06
2.87e-08,1.69173e+06,-6.18116e+06
2.88e-08,1.6988e+06,-6.18536e+06
2.89e-08,1.70435e+06,-6.18923e+06
2.9e-08,1.70818e+06,-6.19285e+06
2.91e-08,1.71006e+06,-6.1954e+06
2.92e-08,1.70996e+06,-6.19757e+06
2.93e-08,1.70798e+06,-6.20098e+06
2.94e-08,1.70376e+06,-6.2042e+06
2.95e-08,1.69685e+06,-6.20663e+06
2.96e-08,1.69611e+06,-6.2089e+06
2.97e-08,1.7044e+06,-6.21508e+06
2.98e-08,1.71134e+06,-6.21923e+06
2.99e-08,1.71647e+06,-6.22239e+06
3e-08,1.71982e+06,-6.22701e+06
3.01e-08,1.72118e+06,-6.22995e+06
3.02e-08,1.72051e+06,-6.23252e+06
3.03e-08,1.71787e+06,-6.2364e+06
3.04e-08,1.71306e+06,-6.23998e+06
3.05e-08,1.70729e+06,-6.23951e+06
3.06e-08,1.71204e+06,-6.24447e+06
3.07e-08,1.72031e+06,-6.24795e+06
3.08e-08,1.72696e+06,-6.25335e+06
3.09e-08,1.73196e+06,-6.25731e+06
3.1e-08,1.73516e+06,-6.26077e+06
3.11e-08,1.73635e+06,-6.26425e+06
3.12e-08,1.73558e+06,-6.26709e+06
3.13e-08,1.73379e+06,-6.26731e+06
3.14e-08,1.74663e+06,-6.25323e+06
3.15e-08,1.72053e+06,-6.27831e+06
3.16e-08,1.72972e+06,-6.28132e+06
3.17e-08,1.73819e+06,-6.28201e+06
3.18e-08,1.74858e+06,-6.28186e+06
3.19e-08,1.7504e+06,-6.29123e+06
3.2e-08,1.75417e+06,-6.29422e+06
3.21e-08,1.75602e+06,-6.29795e+06
3.22e-08,1.75577e+06,-6.30098e+06
3.23e-08,1.74415e+06,-6.31823e+06
3.24e-08,1.7344e+06,-6.3268e+06
3.25e-08,1.74282e+06,-6.31376e+06
3.26e-08,1.74557e+06,-6.3166e+06
3.27e-08,1.76078e+06,-6.31182e+06
3.28e-08,1.76167e+06,-6.3189e+06
3.29e-08,1.76745e+06,-6.32366e+06
3.3e-08,1.77149e+06,-6.32755e+06
3.31e-08,1.77364e+06,-6.33038e+06
3.32e-08,1.77338e+06,-6.33617e+06
3.33e-08,1.77154e+06,-6.33821e+06
3.34e-08,1.76895e+06,-6.33992e+06
3.35e-08,1.7623e+06,-6.34681e+06
3.36e-08,1.75572e+06,-6.35438e+06
3.37e-08,1.76714e+06,-6.3524e+06
3.38e-08,1.77434e+06,-6.35384e+06
3.39e-08,1.78015e+06,-6.3543e+06
3.4e-08,1.78429e+06,-6.35897e+06
3.41e-08,1.78663e+06,-6.36253e+06
3.42e-08,1.7873e+06,-6.36504e+06
3.43e-08,1.78589e+06,-6.36886e+06
3.44e-08,1.76016e+06,-6.40243e+06
3.45e-08,1.77777e+06,-6.37852e+06
3.46e-08,1.76633e+06,-6.38858e+06
3.47e-08,1.77806e+06,-6.38535e+06
3.48e-08,1.78556e+06,-6.38743e+06
3.49e-08,1.79168e+06,-6.38857e+06
3.5e-08,1.79646e+06,-6.38874e+06
3.51e-08,1.79955e+06,-6.39267e+06
3.52e-08,1.80082e+06,-6.39587e+06
3.53e-08,1.79969e+06,-6.39865e+06
3.54e-08,1.80413e+06,-6.39379e+06
3.55e-08,1.79335e+06,-6.40852e+06
3.56e-08,1.78531e+06,-6.41336e+06
3.57e-08,1.78899e+06,-6.41688e+06
3.58e-08,1.79705e+06,-6.41955e+06
3.59e-08,1.80367e+06,-6.42145e+06
3.6e-08,1.80873e+06,-6.42275e+06
3.61e-08,1.8123e+06,-6.42288e+06
3.62e-08,1.81411e+06,-6.426e+06
3.63e-08,1.81399e+06,-6.4293e+06
3.64e-08,1.82903e+06,-6.41234e+06
3.65e-08,1.79912e+06,-6.45138e+06
3.66e-08,1.80299e+06,-6.44312e+06
3.67e-08,1.79531e+06,-6.45512e+06
3.68e-08,1.80612e+06,-6.45378e+06
3.69e-08,1.8147e+06,-6.45322e+06
3.7e-08,1.81993e+06,-6.45533e+06
3.71e-08,1.82369e+06,-6.45663e+06
3.72e-08,1.8198e+06,-6.46697e+06
3.73e-08,1.82283e+06,-6.46524e+06
3.74e-08,1.82397e+06,-6.46468e+06
3.75e-08,1.82379e+06,-6.46422e+06
3.76e-08,1.81909e+06,-6.46986e+06
3.77e-08,1.81057e+06,-6.47522e+06
3.78e-08,1.81818e+06,-6.47967e+06
3.79e-08,1.82499e+06,-6.48312e+06
3.8e-08,1.83413e+06,-6.47797e+06
3.81e-08,1.8347e+06,-6.48759e+06
3.82e-08,1.83731e+06,-6.48876e+06
3.83e-08,1.83836e+06,-6.48926e+06
3.84e-08,1.83809e+06,-6.48717e+06
3.85e-08,1.83507e+06,-6.49245e+06
3.86e-08,1.8314e+06,-6.49567e+06
3.87e-08,1.82578e+06,-6.50029e+06
3.88e-08,1.8315e+06,-6.50584e+06
3.89e-08,1.83845e+06,-6.51031e+06
3.9e-08,1.84397e+06,-6.5139e+06
3.91e-08,1.85193e+06,-6.50592e+06
3.92e-08,1.83946e+06,-6.53347e+06
3.93e-08,1.85151e+06,-6.52047e+06
3.94e-08,1.85133e+06,-6.52073e+06
3.95e-08,1.84964e+06,-6.52034e+06
3.96e-08,1.84621e+06,-6.52147e+06
3.97e-08,1.84451e+06,-6.52498e+06
3.98e-08,1.85407e+06,-6.52926e+06
3.99e-08,1.86237e+06,-6.53563e+06
4e-08,1.8694e+06,-6.5407e+06
4.01e-08,1.87539e+06,-6.54478e+06
4.02e-08,1.88033e+06,-6.54782e+06
4.03e-08,1.88431e+06,-6.54914e+06
4.04e-08,1.89083e+06,-6.54409e+06
4.05e-08,1.88231e+06,-6.55696e+06
4.06e-08,1.88502e+06,-6.55308e+06
4.07e-08,1.88188e+06,-6.55274e+06
4.08e-08,1.88204e+06,-6.55634e+06
4.09e-08,1.89312e+06,-6.55976e+06
4.1e-08,1.90308e+06,-6.56591e+06
4.11e-08,1.91196e+06,-6.57104e+06
4.12e-08,1.91959e+06,-6.57534e+06
4.13e-08,1.92656e+06,-6.57897e+06
4.14e-08,1.93238e+06,-6.58176e+06
4.15e-08,1.91812e+06,-6.60317e+06
4.16e-08,1.93591e+06,-6.58425e+06
4.17e-08,1.93307e+06,-6.58382e+06
4.18e-08,1.92642e+06,-6.58269e+06
4.19e-08,1.91576e+06,-6.582e+06
4.2e-08,1.90518e+06,-6.58552e+06
4.21e-08,1.91285e+06,-6.58963e+06
4.22e-08,1.91949e+06,-6.59469e+06
4.23e-08,1.92536e+06,-6.59885e+06
4.24e-08,1.93058e+06,-6.60195e+06
4.25e-08,1.93452e+06,-6.60435e+06
4.26e-08,1.93702e+06,-6.60602e+06
4.27e-08,1.93785e+06,-6.60681e+06
4.28e-08,1.93231e+06,-6.61131e+06
4.29e-08,1.92652e+06,-6.60545e+06
4.3e-08,1.9141e+06,-6.60385e+06
4.31e-08,1.89904e+06,-6.60304e+06
4.32e-08,1.89384e+06,-6.6059e+06
4.33e-08,1.89843e+06,-6.60928e+06
4.34e-08,1.88977e+06,-6.6289e+06
4.35e-08,1.90491e+06,-6.61587e+06
4.36e-08,1.91209e+06,-6.60853e+06
4.37e-08,1.90572e+06,-6.62292e+06
4.38e-08,1.90641e+06,-6.62161e+06
4.39e-08,1.90507e+06,-6.62061e+06
4.4e-08,1.90129e+06,-6.62012e+06
4.41e-08,1.89505e+06,-6.6191e+06
4.42e-08,1.88505e+06,-6.61906e+06
4.43e-08,1.8847e+06,-6.61946e+06
4.44e-08,1.88734e+06,-6.62434e+06
4.45e-08,1.89044e+06,-6.62629e+06
4.46e-08,1.89245e+06,-6.62969e+06
4.47e-08,1.8928e+06,-6.63531e+06
